nAtom,nHeavyAtom,nH,nO,nBonds,nBondsO,nBondsS,nBondsKS,C2SP3,NsOH,nHBAcc,MPC2,ATS0se,ATS1se,ATS1pe,ATS1are,ATSC0p,ETA_eta_L,ZMIC0,PEOE_VSA1,SlogP_VSA2,VSA_EState9,bpol,MW,nRot,FilterItLogS,bioavailability
44,25,19,5,46,27,37,40,3,2,6,42,354.4064089999998,368.02656,308.30499999999995,302.1620000000001,12.415441390528974,6.594218416654947,82.68143439269815,26.163420601700413,55.10120619166897,68.8969825553168,25.834933,365.1045417080005,4,-1.019199681808022,88.33333333333333
138,65,73,17,140,67,131,131,23,11,17,92,1082.0329319999996,1106.603972,917.8004999999997,900.883,29.76952093649641,21.065250919761368,235.69614776956155,80.85292063561016,165.58095367093318,174.58333333333331,81.34411100000007,923.4878498760023,3,3.00249167670312,3.0
43,24,19,4,45,26,36,39,3,1,5,40,341.05469299999993,355.63914,297.575,291.212,12.307192638584745,6.440847544671894,78.68619939522434,21.056893206859698,49.99467879682826,63.19921396027547,25.834933,349.1096270880005,4,-1.453952102905428,53.5
52,31,21,7,54,33,37,43,0,0,8,47,424.70883299999986,435.80897999999996,365.2861,357.2248,14.222452991782673,6.5826614352174495,103.26694554454193,19.52737746540648,49.71411753198796,60.62137096730464,38.08734700000002,447.1100210120005,6,-3.7775425860864895,0.0
23,14,9,1,24,15,11,18,0,0,3,20,179.82796000000008,189.294484,159.7785,156.637,4.928583054911913,2.362432430503111,45.7367465808781,10.717645998109393,9.967957041894415,35.16666666666667,11.036863,187.074561908,1,-2.8109450564342824,93.0
57,33,24,4,60,36,35,47,0,0,6,53,445.172777,470.869224,393.6816,383.9078,15.631239000147504,6.39681431083833,106.0502382075563,15.370440161812711,39.722193942093774,60.46271616125057,36.186968000000014,464.1518262480007,6,-7.710057111129137,34.0
23,16,7,1,25,18,17,20,0,0,3,27,190.54228200000009,201.82242,171.52,166.37900000000002,6.092245948656001,3.3874930001252355,55.0433450310545,4.899909730850478,23.31140043485839,27.681757430853,12.330448999999998,254.99661720400002,0,-3.7431880819716032,75.0
41,22,19,0,42,23,29,35,0,0,5,34,306.84776800000003,319.939452,267.6331,261.3999,9.037073974802002,5.106788084735362,76.4425179218668,0.0,14.764463264393429,50.27614890400604,23.050933,293.1640456080005,4,-4.013149319073246,80.0
52,20,32,2,53,21,52,52,11,0,2,30,380.08468799999986,398.515996,327.879,320.4500000000001,11.268990392603072,7.7789887648766305,71.23979470985664,9.219893811494673,42.73532815704508,37.85972316704459,36.986624000000006,282.24275568409075,6,-4.085053772257612,17.5
26,14,12,1,27,15,15,22,0,0,3,21,197.32223200000004,208.594644,174.8641,171.1249,5.891711081178152,2.825700177777685,46.26217036158866,0.0,9.36360587029037,28.50694444444445,15.186483999999995,188.09496300400002,1,-1.8767550578091436,99.0
68,42,26,2,72,46,48,60,0,0,6,67,564.40552,573.526472,487.2355,477.504,16.515272424104527,9.18134255610366,133.3547428993998,14.953561288656855,55.18385753382533,41.933570914701406,40.495382000000035,588.1959953920008,7,-8.584878803032716,99.0
37,20,17,2,40,23,28,34,3,2,3,35,279.307728,307.816044,257.131,250.925,8.810428519477295,4.729917263817758,65.97177059668805,10.213054789681411,28.705392909121656,43.5,18.764519,267.12592878400034,0,-3.604048940124362,10.0
58,37,21,3,61,40,43,53,2,0,5,60,507.381304,501.257148,428.4246,421.6579,13.736061859959873,8.648225669365582,120.1186373567446,9.473725907600098,39.522916968160466,25.101581162313337,36.048347000000014,534.1501880720007,6,-6.884023164088223,62.5
54,24,30,0,56,26,44,50,4,0,2,34,387.84854399999983,416.96362400000004,344.862,336.05000000000007,12.773994931319995,6.750392668360359,86.26551762444505,9.799819461700956,37.120776183648736,42.83333333333334,33.51621,322.2408989600008,8,-5.600003023333168,85.0
82,38,44,10,84,40,83,83,16,5,15,57,656.2307440000001,682.8561119999998,569.1074999999997,561.769,15.192378910579604,12.758982321618532,129.63529696236108,78.46521477922099,136.71535935714178,104.33333333333336,49.67310800000008,552.3118916080011,10,2.9527456211468426,0.0
57,30,27,2,60,33,47,53,4,0,4,45,436.28998599999983,463.499744,387.046,376.55400000000003,14.894626331573507,8.009125153056969,99.86981618326807,14.953561288656855,50.13775345427777,51.386239991107686,34.700589,447.1480324640007,7,-7.026848497187906,87.0
47,21,26,5,50,24,50,50,5,0,5,39,362.08689999999984,391.78896000000003,325.4071,319.0,10.240913697181997,8.157828640738746,76.8464987618215,14.210588861400149,31.07801296350225,41.99999999999999,33.027382,298.1780239320008,1,-2.035714815554326,58.0
65,34,31,1,69,38,47,59,4,0,5,52,489.5650919999998,529.079716,442.7635,432.504,15.254652131643784,8.06957878156755,112.22798309301704,19.520660936448213,47.23689548775226,54.91299623352838,39.078417000000016,458.2481898320009,8,-7.336459964389093,2.0
103,51,52,7,105,53,83,92,5,1,9,74,790.5715640000002,815.396332,679.5315999999998,665.8159,22.64193116050048,12.884359548192215,171.69240464628902,30.530619114459792,84.0940984039821,123.66666666666664,63.100764000000105,704.3897480040013,14,-7.487994082744424,64.0
41,19,22,3,41,19,34,37,3,1,4,24,313.831852,319.358988,264.986,259.987,8.797962407680046,5.007521369647532,64.66731551989535,20.893846429809273,36.31115271151397,47.16666666666666,24.674553999999997,266.1630425640003,8,-2.68651635250641,50.5
40,19,21,1,41,20,29,35,2,0,2,25,292.82986800000003,308.88896,255.976,249.604,9.550967892068774,4.437358819813105,65.75874944074505,10.053651557806381,13.592428388589767,37.333333333333336,23.373346999999995,255.16231429200002,6,-4.9807881466196315,84.5
45,26,19,3,48,29,33,39,4,1,3,42,345.67294099999987,365.745446,305.4845,296.275,11.697295851364572,6.693042853236787,84.93037182582133,5.106527394840706,16.673017287570588,56.15205249828443,21.306933,366.1022721480005,2,-5.755612411009769,23.0
44,21,23,3,46,23,39,42,7,1,4,32,332.9702279999999,353.155036,293.372,286.725,10.075090608046976,6.336924570433947,72.52833430259952,14.743300079491231,47.81794440687735,46.66666666666666,27.387760999999994,289.16779359600065,4,-2.1727532689559914,50.0
62,32,30,3,65,35,47,56,2,0,7,49,477.4540849999999,509.76116399999995,424.9886,415.4538,16.280998064113547,7.882375766252156,105.52049521676096,14.620751205597735,75.15089383153862,50.93553310100007,45.32821000000004,458.21000982000083,9,-5.906876911482883,17.2
26,19,7,2,28,21,12,21,0,0,8,30,221.752625,235.97792,202.4567,199.644,7.2361461721891125,3.401377898073715,64.59771149427334,19.665396437504132,34.410303301345074,47.94377928949358,17.488449,277.0381934640002,3,-2.745563286271154,60.0
51,27,24,1,54,30,36,46,5,0,4,42,383.16673699999984,411.576218,343.7761,334.5499,12.739282292826509,6.826519882801364,89.18104238570129,4.899909730850478,34.81757926879905,48.6682967150282,28.874968,381.16079006800067,3,-5.8338357066573225,99.0
43,26,17,4,45,28,34,37,3,1,5,42,348.02103699999986,359.484716,302.6822,296.5538,11.85406921877344,6.618383863520397,84.7976152640619,15.323225729697516,49.99467879682826,71.24847529289494,24.968519,375.1001250240005,5,-1.9353255943310492,60.0
124,52,72,12,126,54,125,125,14,5,14,83,950.89288,983.68692,813.1929999999999,798.05,25.53855520344076,18.242057356388425,184.65201748154044,63.75363415870478,166.3979502709818,122.91666666666666,86.93490400000017,748.5085257440021,7,-2.2226462786839294,36.333333333333336
55,32,23,6,58,35,47,50,3,1,6,53,445.1973169999998,464.342296,390.5735,383.01199999999994,14.54906053514298,8.28591414603833,105.20864698900415,25.956802937710176,80.04633036418005,86.60562904889791,35.00376100000001,461.13690445600076,5,-1.8229757193015748,0.0
34,23,11,2,36,25,18,27,0,0,7,36,281.865867,296.528826,249.6709,243.1865,12.671574971258734,4.769919244674719,76.60780761847163,5.316788604006331,29.04193079224075,33.387642768206064,21.231276999999995,370.00734327200036,5,-4.621768581689373,10.0
45,28,17,8,46,29,35,38,2,2,10,45,387.55020199999984,387.160332,325.0028999999999,319.1178,14.569130197691644,6.544564321299244,96.45347128754328,20.994572059745856,68.54635098380861,61.993456558132685,33.360519000000004,435.0518545040004,7,-0.03713987895475973,1.0
26,14,12,2,26,14,19,22,1,1,2,18,205.007421,203.873554,169.813,165.45799999999997,6.80767220487046,3.3343195724586683,46.88308913371576,10.84019487200289,17.62058908870513,32.72673765082165,12.846483999999995,213.05565630400002,4,-2.287712661145415,95.0
41,26,15,6,42,27,29,32,1,2,6,36,339.68093599999986,339.9300760000001,287.1436,282.0329000000001,8.823077324661217,5.323452150755253,86.9490815164547,15.529843393687743,46.09853144998482,78.33333333333333,19.660105,357.0960852000004,7,-2.2292182055511285,0.0
55,26,29,5,55,26,47,50,1,1,6,37,427.9282319999999,433.274736,360.6735,354.35400000000004,11.473021354111744,6.347933500256595,88.46272601080206,29.696861368148088,67.36719658742317,65.91666666666666,38.291003000000025,367.2107210280008,5,-2.632341274156773,17.5
65,36,29,6,68,39,51,57,2,0,8,55,509.1445919999999,532.254844,446.3897,437.04400000000004,14.730896921143934,8.5837024607261,119.8882685876608,14.790514511606428,48.065108096422826,89.16666666666666,37.747003000000014,491.2056356480008,7,-5.699839380604991,1.0
59,31,28,5,61,33,46,52,6,1,5,44,456.25122799999986,472.756724,394.56300000000005,385.829,13.496271103202233,7.779446383074904,104.68926888450436,9.843390348640755,48.18763772881732,76.66666666666666,34.709796000000004,424.19982199600065,9,-4.725298766593687,18.0
52,21,31,1,53,22,47,50,8,0,2,28,375.09553999999986,395.215304,325.2525,317.2750000000001,11.918178656628823,7.1125234580511485,75.93822973074458,9.636772684650527,37.747942877614044,37.41666666666667,34.545417,289.24056461200087,7,-5.039031448737683,51.0
41,27,14,4,43,29,27,33,1,0,5,46,356.66570599999994,355.012296,298.43769999999995,290.8826,14.96075678333956,5.631131314242327,85.71059521445358,5.316788604006331,23.001369580792407,10.509882052140213,31.265897999999996,421.0377825880004,3,-4.685466952937578,95.0
52,28,24,2,55,31,37,47,5,0,4,43,400.4428279999999,424.012264,355.477,347.404,12.104910157587076,7.057819011323008,90.52683637181049,9.883888251797686,39.868502063691714,51.49127144162714,30.915968,381.18525522800064,6,-5.172355602903923,40.0
61,29,32,5,63,31,55,58,4,0,6,44,468.0440519999999,488.848412,406.7505,398.30000000000007,13.467519627866752,8.227544040797364,99.76343172805201,19.110498592250625,68.17889157295798,65.5,42.46662400000003,404.2311221240009,6,-3.797720544549713,36.0
48,23,25,1,51,26,39,45,8,0,2,36,349.8657879999999,382.671576,317.6025,309.2750000000001,11.588647676836974,6.421361341921675,79.74384912683158,9.636772684650527,30.135229759571892,42.16666666666666,28.526174999999995,307.1936144200007,4,-4.145928171386552,29.0
46,23,23,1,48,25,32,41,1,0,4,33,341.7510999999999,367.24754,306.3676,299.4749000000001,10.571255542806972,5.268567728474657,77.92053182685432,9.636772684650527,41.92737681007658,43.146879251700675,28.229760999999996,309.18411235600064,7,-4.6954215422680035,87.0
61,27,34,1,63,29,51,57,3,0,3,37,443.1551479999998,473.042436,391.3485,381.8,14.23738027677675,7.750142527958224,95.26769996745226,14.536682415501005,43.789783706762,49.50000000000002,39.265038000000025,366.26711370800103,10,-5.361923726022448,75.5
96,40,56,0,97,41,86,86,6,0,0,56,677.8546239999997,707.748548,580.7625,564.25,23.48323331314333,13.356125459219715,151.7052881530554,0.0,0.0,72.83333333333334,56.17959200000008,536.4382017920017,10,-7.591294788243031,25.0
51,22,29,3,52,23,46,49,5,1,4,29,380.821528,398.285204,329.13,322.0540000000001,11.356584444895336,7.043898652605241,77.25122862055484,19.897041906447136,43.617736911188295,45.33333333333334,33.135003000000005,307.2147437880008,11,-4.229989300824745,87.0
52,25,27,4,53,26,41,47,2,1,5,33,395.81734799999987,411.658224,341.9565,334.80400000000003,11.877646823020669,5.997018980591934,86.75566967703243,24.63390486024718,45.126483641482146,54.66666666666667,32.864588999999995,345.1940083440008,10,-5.3460012353714665,57.0
45,25,20,4,46,26,32,38,1,1,3,36,353.32320899999985,358.849898,299.703,292.129,11.3543411881,5.540739704889924,83.13498852778454,15.160178952647085,29.128819629040322,58.56476020615228,24.61614,361.10808580000054,7,-5.0190198797842385,99.0
43,20,23,1,44,21,32,38,3,0,2,25,313.8073119999999,330.66474,273.6985,266.85400000000004,10.253374939407907,5.0011164437201865,69.79647051490242,10.053651557806381,20.19931035310268,38.49999999999999,25.379760999999995,269.1779643560004,8,-5.755828490203282,13.0
32,16,16,3,33,17,31,31,7,1,3,23,252.10285299999998,260.3066,216.37599999999998,211.858,9.754797755792,5.787515138808733,53.147682594239356,15.740104602853368,40.1934204901555,39.79604308390023,21.387312,244.088163372,5,-1.6718380538161004,99.0
52,23,29,1,55,26,48,51,6,1,2,37,376.7396439999998,411.002272,339.731,330.975,12.338817795505438,8.008533619580682,81.83280721836955,10.006437125691184,29.640706343428914,42.41666666666667,30.803002999999997,311.2249145480008,5,-3.4105313426856974,31.5
46,27,19,4,48,29,28,37,0,0,5,39,357.1506679999998,371.330596,311.2785,303.6,10.857494081642104,5.0796284560232285,87.83520429821735,9.473725907600098,16.922589096850906,64.99999999999999,25.408933,361.13140808800057,5,-5.396402989966153,15.0
54,23,31,4,54,23,48,51,3,1,5,28,407.6101719999999,417.507204,344.889,338.0540000000001,11.668874964246983,6.905988264451056,80.95446573132041,24.63390486024718,49.7217032989366,49.83333333333334,36.87741700000001,325.2253084720008,12,-4.184478866675115,92.5
68,39,29,6,71,42,45,57,0,1,10,60,538.2917130000002,564.165472,472.1256,461.4498,17.86897684112087,8.063409435790474,126.87892426325224,19.31711625624085,53.783799933261854,72.3069113494163,46.087003000000045,551.1838546480008,10,-7.584815753271513,50.0
